"걸린시간","외부코드","전철명명(영문)","전철역명","전철역코드","호선"
"3","220","Seolleung","선릉","0220","02호선"
"2","221","Yeoksam","역삼","0221","02호선"
"2","222","Gangnam","강남","0222","02호선"
"2","223","Seoul Nat`l Univ. of Education","교대","0223","02호선"
"3","224","Seocho","서초","0224","02호선"
"3","225","Bangbae","방배","0225","02호선"
"3","226","Sadang","사당","0226","02호선"
"2","227","Nakseongdae","낙성대","0227","02호선"
"2","228","Seoul Nat`l Univ.","서울대입구","0228","02호선"
"2","229","Bongcheon","봉천","0229","02호선"
"3","230","Sillim","신림","0230","02호선"
"2","231","Sindaebang","신대방","0231","02호선"
"2","232","Guro Digital Complex","구로디지털단지","0232","02호선"
"3","233","Daerim","대림","0233","02호선"
"3","234","Sindorim","신도림","0234","02호선"
"2","235","Mullae","문래","0235","02호선"
"2","236","Yeongdeungpo-gu Office","영등포구청","0236","02호선"
"3","237","Dangsan","당산","0237","02호선"
"2","238","Hapjeong","합정","0238","02호선"
"3","239","Hongik Univ.","홍대입구","0239","02호선"
"2","240","Sinchon","신촌","0240","02호선"
"2","241","Ewha Womans Univ.","이대","0241","02호선"
"2","242","Ahyeon","아현","0242","02호선"
"34","243","Chungjeongno","충정로","0243","02호선"
"2","211-1","Yongdap","용답","0244","02호선"
"4","211-2","Sindap","신답","0245","02호선"
"46","211-4","Sinseol-dong","신설동","0246","02호선"
"3","234-1","Dorimcheon","도림천","0247","02호선"
"4","234-2","Yangcheon-gu Office","양천구청","0248","02호선"
"61","234-3","Sinjeongnegeori","신정네거리","0249","02호선"
"2","510","Banghwa","방화","2511","05호선"
"2","511","Gaehwasan","개화산","2512","05호선"
"2","512","Gimpo Intl. Airport","김포공항","2513","05호선"
"2","513","Songjeong","송정","2514","05호선"
"2","514","Magok","마곡","2515","05호선"
"2","515","Balsan","발산","2516","05호선"
"2","516","Ujangsan","우장산","2517","05호선"
"2","517","Hwagok","화곡","2518","05호선"
